,Andaman & Nicobar [AN],Andhra Pradesh [AP],Arunachal Pradesh [AR],Assam [AS],Bihar [BH],Chandigarh [CH],Chhattisgarh [CG],Dadra & Nagar Haveli [DN],Daman & Diu [DD],Delhi [DL],Goa [GO],Gujarat [GU],Haryana [HR],Himachal Pradesh [HP],Jammu & Kashmir [JK],Jharkhand [JH],Karnataka [KR],Kerala [KL],Lakshadweep [LD],Madhya Pradesh [MP],Maharashtra [MH],Manipur [MN],Meghalaya [ML],Mizoram [MM],Nagaland [NL],Orissa [OR],Pondicherry [PC],Punjab [PJ],Rajasthan [RJ],Sikkim [SK],Tamil Nadu [TN],Tripura [TR],Uttar Pradesh [UP],Uttaranchal [UT],West Bengal [WB]
0,Alipur ,Achampet ,Along ,Abhayapuri ,Adhaura ,Chandigarh ,Ambikapur ,Amal ,Brancavare ,Central Delhi ,Canacona ,Ahmedabad ,Adampur Mandi ,Amb ,Akhnoor ,Bagodar ,Afzalpur ,Adimaly ,Agatti Island ,Agar ,Achalpur ,Bishnupur ,Amlaren ,Aizawl ,Dimapur ,Anandapur ,Bahur ,Abohar ,Abu Road ,Barmiak ,Ambasamudram ,Agartala ,Achhnera ,Almora ,Adra 
1,Andaman Island ,Adilabad ,Anini ,Baithalangshu ,Amarpur ,Mani Marja,Antagarh ,Amli ,Dagasi ,East Delhi ,Candolim ,Ahwa ,Ambala ,Arki ,Anantnag ,Baharagora ,Ainapur ,Adoor ,Bingaram Island ,Ajaigarh ,Aheri ,Chakpikarong ,Baghmara ,Champhai ,Jalukie ,Angul ,Karaikal ,Ajnala ,Ahore ,Be ,Anamali ,Ambasa ,Agra ,Bageshwar ,Alipurduar 
2,Anderson Island ,Adoni ,Anjaw ,Barama ,Araria ,,Arang ,Bedpa ,Daman ,New Delhi ,Chinchinim ,Amod ,Assandh ,Banjar ,Badgam ,Balumath ,Aland ,Agathy ,Bitra Island ,Alirajpur ,Ahmednagar ,Chandel ,Cherrapunjee ,Demagiri ,Kiphire ,Anugul ,Mahe ,Amritsar ,Ajmer ,Bhurtuk ,Arakandanallur ,Bampurbari ,Akbarpur ,Bhatwari ,Amlagora 
3,Arainj-Laka-Punga ,Alampur ,Bameng ,Barpeta Road ,Areraj ,,Bacheli ,Chikhli ,Diu ,North Delhi ,Cortalim ,Amreli ,Bahadurgarh ,Bharmour ,Bandipur ,Barhi ,Alur ,Alappuzha ,Chetlat Island ,Amarpatan ,Ahmedpur ,Chattrik ,Dadengiri ,Kolasib ,Kohima ,Aska ,Pondicherry ,Balachaur ,Aklera ,Chhubakha ,Arantangi ,Belonia ,Aliganj ,Chakrata ,Arambagh 
4,Austinabad ,Allagadda ,Basar ,Bihupuria ,Arrah ,,Bagbahera ,Dadra & Nagar Haveli ,Magarvara ,North East Delhi ,Goa ,Anand ,Barara ,Bilaspur ,Baramulla ,Barkagaon ,Anekal ,Alathur ,Kadmat Island ,Amarwada ,Ajara ,Churachandpur ,Garo Hills ,Lawngtlai ,Mokokchung ,Athgarh ,Purnankuppam ,Barnala ,Alwar ,Chidam ,Aravakurichi ,Dhalai ,Aligarh ,Chamoli ,Asansol 
5,Bamboo Flat ,Alur ,Changlang ,Bijni ,Arwal ,,Bagicha ,Dahikhed ,Nagwa ,North West Delhi ,Jua ,Anjar ,Barwala ,Chamba ,Basholi ,Barwadih ,Ankola ,Alleppey ,Kalpeni Island ,Ambah ,Akkalkot ,Imphal ,Jaintia Hills ,Lunglei ,Mon ,Athmallik ,Valudavur ,Batala ,Amber ,Chubha ,Ariyalur ,Dharam Nagar ,Allahabad ,Champawat ,Balurghat 
6,Barren Island ,Amalapuram ,Chowkhem ,Bilasipara ,Aurangabad ,,Baikunthpur ,Dolara ,Pariali ,South Delhi ,Madgaon ,Ankaleshwar ,Bawal ,Churah ,Bedarwah ,Basia ,Arsikere ,Alwaye ,Kavaratti Island ,Anuppur ,Akola ,Jiribam ,Jowai ,Mamit ,Phek ,Attabira ,Villianur ,Bathinda ,Amet ,Chumikteng ,Arkonam ,Kailashahar ,Ambedkar Nagar ,Dehradun ,Bankura 
7,Beadonabad ,Amangallu ,Daporizo ,Bokajan ,Bagaha ,,Balod ,Galonda ,Passo Covo ,South West Delhi ,Mahem ,Babra ,Bawanikhera ,Dalhousie ,Budgam ,Bermo ,Athani ,Amini ,Kiltan Island ,Arone ,Akole ,Kakching ,Khasi Hills ,Saiha ,Tuensang ,Bagdihi ,Yanam ,Chandigarh ,Anupgarh ,Dentam ,Arni ,Kamal Krishnabari ,Amethi ,Deoprayag ,Bardhaman 
8,Betapur ,Anakapalle ,Dibang Valley ,Bokakhat ,Banka ,,Balodabazar ,Kanadi ,,West Delhi ,Mapuca ,Balasinor ,Bhiwani ,Dehra Gopipur ,Doda ,Bhandaria ,Aurad ,Androth ,Lakshadweep Sea ,Ashoknagar ,Akot ,Kalapahar ,Khliehriat ,Serchhip ,Wokha ,Balangir ,,Dasua ,Asind ,Dikchu ,Aruppukottai ,Khopaiyapara ,Amiliya ,Dharchula ,Basirhat 
9,Bindraban ,Anantapur ,Dirang ,Boko ,Banmankhi ,,Balrampur ,Karchond ,,,Marmagao ,Banaskantha ,Charkhidadri ,Hamirpur ,Gulmarg ,Bhawanathpur ,Bableshwar ,Attingal ,Minicoy Island ,Ashta ,Alibagh ,Mao ,Mariang ,,Zunheboto ,Balasore ,,Dinanagar ,Aspur ,Dzongri ,Attur ,Khowai ,Amroha ,Dunda ,Berhampur 
10,Bonington ,Andole ,Hayuliang ,Bongaigaon ,Barachakia ,,Barpalli ,Khadoli ,,,Panji ,Bansada ,Cheeka ,Jogindernagar ,Jammu ,Bishrampur ,Badami ,Badagara ,North Island ,Atner ,Amagaon ,Mulam ,Mawkyrwat ,,,Baleswar ,,Faridkot ,Atru ,Gangtok ,Avanashi ,Phuldungsei ,Anola ,Haldwani ,Bethuadahari 
11,Brookesabad ,Araku ,Huri ,Cachar ,Barauni ,,Basana ,Kharadpada ,,,Ponda ,Bardoli ,Chhachrauli ,Kalpa ,Kalakot ,Bokaro ,Bagalkot ,Bitra ,South Island ,Babaichichli ,Amalner ,Parbung ,Nongpoh ,,,Baliguda ,,Fatehgarh Sahib ,Bagidora ,Gauzing ,Batlagundu ,Radha Kishore Pur ,Atrauli ,Haridwar ,Birbhum 
12,Cadell Point ,Armoor ,Itanagar ,Cachar Hills ,Barh ,,Bastanar ,Kherabari ,,,Sanvordem ,Bareja ,Dabwali ,Kangra ,Kargil ,Bolwa ,Bagepalli ,Calicut ,,Badamalhera ,Ambad ,Sadarhills ,Nongstoin ,,,Balugaon ,,Fazilka ,Bali ,Gyalshing ,Bhavani ,Tripura ,Auraiya ,Joshimath ,Birpara 
13,Calicut ,Asifabad ,Jairampur ,Darrang ,Barosi ,,Bastar ,Kherdi ,,,Terekhol ,Baroda ,Ellenabad ,Kinnaur ,Karnah ,Bundu ,Bailhongal ,Cannanore ,,Badarwsas ,Ambejogai ,Saibom ,Resubelpara ,,,Banaigarh ,,Ferozepur ,Bamanwas ,Hema ,Chengalpattu ,,Azamgarh ,Karan Prayag ,Bishanpur 
14,Chetamale ,Aswaraopet ,Kalaktung ,Dhakuakhana ,Begusarai ,,Bderajpur ,Kothar ,,,,Barwala ,Faridabad ,Kullu ,Kathua ,Chaibasa ,Bangalore ,Chetlet ,,Badnagar ,Amravati ,Sempang ,Ri Bhoi ,,,Bangiriposi ,,Garhashanker ,Banera ,Kerung ,Chengam ,,Baberu ,Kashipur ,Bolpur 
15,Cinque Islands ,Atmakur ,Kameng ,Dhemaji ,Benipatti ,,Bemetara ,Luari ,,,,Bayad ,Fatehabad ,Lahaul ,Kishtwar ,Chainpur ,Bangalore Rural ,Ernakulam ,,Badnawar ,Arjuni Merogaon ,Senapati ,Shillong ,,,Barbil ,,Goindwal ,Bansur ,Lachen ,Chennai ,,Badaun ,Khatima ,Bongoan 
16,Defence Island ,B. Kothakota ,Khonsa ,Dhubri ,Benipur ,,Berla ,Mashat ,,,,Bhachav ,Ferojpur Jhirka ,Mandi ,Kulgam ,Chakardharpur ,Bangarpet ,Idukki ,,Badwani ,Arvi ,Sochumer ,Tura ,,,Bargarh ,,Gurdaspur ,Banswara ,Lachung ,Chidambaram ,,Baghpat ,Kichha ,Bulbulchandi 
17,Digilpur ,Badvel ,Kolaring ,Dibrugarh ,Bettiah ,,Bhairongarh ,Rakholi ,,,,Bhanvad ,Gharaunda ,Nahan ,Kupwara ,Chandil ,Bantwal ,Irinjalakuda ,,Bagli ,Ashti ,Taloulong ,Williamnagar ,,,Baripada ,,Guruharsahai ,Baran ,Lema ,Chingleput ,,Bagpat ,Lansdown ,Burdwan 
18,Dolyganj ,Banaganapalle ,Kurung Kumey ,Digboi ,Bhabhua ,,Bhanupratappur ,Rudana ,,,,Bharuch ,Gohana ,Nalagarh ,Leh ,Chatra ,Basavakalyan ,Kadamath ,,Baihar ,Atpadi ,Tamenglong ,,,,Barkot ,,Hoshiarpur ,Bari ,Lingtam ,Coimbatore ,,Baheri ,Munsiari ,Calcutta 
19,Flat Island ,Bandar ,Lohit ,Diphu ,Bhagalpur ,,Bharathpur ,Saili ,,,,Bhavnagar ,Gurgaon ,Nirmand ,Mahore ,Chavparan ,Basavanabagewadi ,Kalpeni ,,Balaghat ,Aurangabad ,Thinghat ,,,,Basta ,,Jagraon ,Barisadri ,Lungthu ,Courtallam ,,Bahraich ,Mussoorie ,Canning 
